market_id,model,n_train,n_test,rmse,mae,mape,directional_acc
507891,naive,156,39,0.45115856556431605,0.20558974358974375,224.87305203903279,0.5526315789473685
507891,ma5,156,39,0.447547562291228,0.44030769230769223,135.38457408132132,0.5526315789473685
507891,arima,156,39,0.4056850732429866,0.30158085103011145,188.69213673562612,0.39473684210526316
507893,naive,156,39,0.4510452248630894,0.20543589743589757,211.23192373121208,0.5526315789473685
507893,ma5,156,39,0.44738768824113123,0.4401538461538462,127.18622178002958,0.5526315789473685
507893,arima,156,39,0.405274617465667,0.3030938856483181,176.66497322501206,0.42105263157894735
508803,naive,156,39,0.4500817162272328,0.2047435897435898,75.71958050211383,0.47368421052631576
508803,ma5,156,39,0.44622744171956724,0.4389897435897437,45.773196938046134,0.47368421052631576
508803,arima,156,39,0.4046210110545439,0.30020136341621667,63.67633777113498,0.2894736842105263
508827,naive,156,39,0.45022400407591984,0.20502564102564103,91.90227723707876,0.42105263157894735
508827,ma5,156,39,0.44650783609283695,0.439271794871795,55.505550328176106,0.42105263157894735
508827,arima,156,39,0.4033887014330682,0.3124711411386586,75.42693946874978,0.2894736842105263
507894,naive,152,38,0.4854210597647756,0.23665789473684207,297.5618247720351,0.4864864864864865
507894,ma5,152,38,0.45451993529321394,0.4465526315789474,178.9261102179585,0.4864864864864865
507894,arima,152,38,0.4318617627418776,0.39611175048544384,209.77118465459876,0.2972972972972973
508824,naive,150,38,0.8532300932956263,0.7326052631578946,0.8283355920434297,0.2972972972972973
508824,ma5,150,38,0.45874373134968466,0.4503578947368421,60.07362986347249,0.2972972972972973
508824,arima,150,38,0.4381095808926303,0.3771772685704565,74.83551665305228,0.35135135135135137
507889,naive,149,38,0.3596621953122709,0.13547368421052627,156.5839800530858,0.6216216216216216
507889,ma5,149,38,0.34460121880225564,0.28063157894736857,125.65008969971443,0.6216216216216216
507889,arima,149,38,0.354020274283471,0.30640687121071347,120.44166171617746,0.2972972972972973
509319,naive,148,38,0.42824815266753685,0.18459210526315792,328.2705267107238,0.5945945945945946
509319,ma5,148,38,0.387519280674829,0.3105289473684212,262.84117650139666,0.5945945945945946
509319,arima,148,38,0.393090442739651,0.34165158152299624,246.85970266551493,0.2972972972972973
509331,naive,148,38,0.4277903292379033,0.18499999999999997,297.3171851587247,0.4864864864864865
509331,ma5,148,38,0.38741777463774574,0.31081052631578954,238.06929267020124,0.4864864864864865
509331,arima,148,38,0.4086636544435522,0.3819455047709561,205.0427111989173,0.32432432432432434
509332,naive,148,38,0.4268710362380509,0.1844473684210527,129.54363714472993,0.24324324324324326
509332,ma5,148,38,0.38612676811201735,0.3094315789473684,103.79940174164483,0.24324324324324326
509332,arima,148,38,0.3965563028701378,0.35596958854056454,94.47016644449485,0.4594594594594595
